Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_p548223,171.089232,1.788422848,0.268442514,6.662219107,2.70E-11,1.45E-09
BT_0722,1316.469355,1.262884263,0.189706908,6.657028323,2.79E-11,1.48E-09
BT_1093,1027.310278,0.781016324,0.117951207,6.621520425,3.56E-11,1.86E-09
BT_0662,100.3299955,1.283165546,0.193880299,6.618339009,3.63E-11,1.88E-09
BT_3564,246.9412544,1.055402106,0.159794975,6.604726503,3.98E-11,2.03E-09
BT_1844,3049.918095,0.502105751,0.076514023,6.56227094,5.30E-11,2.67E-09
BT_4100,6200.094848,0.446340468,0.068605199,6.505927785,7.72E-11,3.85E-09
BT_2114,331.8812478,0.996758188,0.153253622,6.503978025,7.82E-11,3.85E-09
BT_3165,4402.089385,0.564417804,0.087784719,6.42956784,1.28E-10,6.15E-09
BT_3455,4894.217243,0.690301436,0.107360314,6.429763576,1.28E-10,6.15E-09
BT_2038,756.4617632,0.846549751,0.131782181,6.423855984,1.33E-10,6.31E-09
BT_0770,3789.995546,-0.531046959,0.082846124,-6.410039855,1.45E-10,6.83E-09
BT_2847,832.8035566,0.508896406,0.079981726,6.362658508,1.98E-10,9.20E-09
BT_0998,8217.567301,-0.443452143,0.070149463,-6.321532975,2.59E-10,1.19E-08
BT_3701,193.3843907,1.255301988,0.199187318,6.302118043,2.94E-10,1.33E-08
BT_2692,156.2118737,1.051158749,0.167685821,6.268620362,3.64E-10,1.63E-08
BT_0554,13847.00985,-0.517981346,0.083291902,-6.218867994,5.01E-10,2.22E-08
BT_3307,3039.442631,0.568124068,0.091505271,6.208648545,5.34E-10,2.34E-08
BT_2240,1286.507172,0.708753632,0.114452598,6.192551702,5.92E-10,2.54E-08
BT_3315,194.1074021,1.27836719,0.206442535,6.192363369,5.93E-10,2.54E-08
BT_3411,600.5056421,1.035848412,0.167340867,6.190050457,6.01E-10,2.55E-08
BT_2630,802.7845895,0.691035658,0.111993237,6.170333848,6.81E-10,2.86E-08
BT_3205,633.2273263,0.722268217,0.117144376,6.165624331,7.02E-10,2.90E-08
BT_3613,510.4441233,0.725408953,0.117660056,6.16529499,7.04E-10,2.90E-08
BT_1953,7178.078908,-0.473022308,0.076835688,-6.156283927,7.45E-10,3.00E-08
BT_3700,179.3008992,1.404869429,0.228147131,6.157734371,7.38E-10,3.00E-08
BT_0202,1812.86482,-0.532106611,0.086581815,-6.145708652,7.96E-10,3.18E-08
BT_1035,1134.351908,0.548012397,0.089238815,6.140964547,8.20E-10,3.24E-08
BT_1427,43.08106153,1.884067516,0.308356951,6.11002123,9.96E-10,3.90E-08
BT_p548221,11144.55407,2.611139887,0.4278752,6.102573566,1.04E-09,4.05E-08
BT_1809,6299.567229,-0.447839594,0.073417468,-6.099905225,1.06E-09,4.08E-08
BT_1951,1891.914958,-0.598843141,0.098280802,-6.093185359,1.11E-09,4.21E-08
BT_1057,2597.835161,-0.655253158,0.107621683,-6.088486428,1.14E-09,4.26E-08
BT_3470,1681.152453,-0.488447473,0.080213214,-6.089364161,1.13E-09,4.26E-08
BT_2552,406.1789529,1.179375583,0.193882762,6.08293161,1.18E-09,4.37E-08
BT_3058,2083.607458,0.62094642,0.102830535,6.038541195,1.56E-09,5.70E-08
BT_0771,13982.94546,-0.532282372,0.088469228,-6.016582106,1.78E-09,6.48E-08
BT_0999,1153.790013,-0.505168688,0.084167075,-6.001975085,1.95E-09,7.02E-08
