Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_3819,10881.86732,0.001268505,0.093310902,0.013594393,0.989153578,0.999886879
BT_3820,5631.753501,-0.01113936,0.108473894,-0.102691619,0.918207725,0.999886879
BT_3821,4995.910655,0.028236131,0.092551601,0.305085279,0.760301203,0.999886879
BT_3822,357.0679255,0.206405033,0.434912188,0.474590133,0.63507914,0.999886879
BT_3823,8203.114811,0.330618542,0.639883905,0.516685198,0.60537593,0.999886879
BT_3824,99.00492299,-0.130977826,0.287077026,-0.456246283,0.648212887,0.999886879
BT_3832,10079.29059,0.046514705,0.126451795,0.367845352,0.71298855,0.999886879
BT_3833,9132.463605,0.051712966,0.153669676,0.3365203,0.736478546,0.999886879
BT_3834,38460.92062,-0.036858309,0.194379363,-0.189620483,0.849606536,0.999886879
BT_3835,7119.282467,-0.06474684,0.26046449,-0.248582215,0.803683967,0.999886879
BT_3836,9308.947214,-0.006364155,0.226110204,-0.028146251,0.977545506,0.999886879
BT_3837,2577.129272,0.094715748,0.106930302,0.885770887,0.375741001,0.999886879
BT_3838,2370.951397,0.103546006,0.102722133,1.00802041,0.313444664,0.999886879
BT_3839,3488.009482,0.111182977,0.107010432,1.038991954,0.298808478,0.999886879
BT_3840,56503.01315,-0.065315411,0.280307243,-0.233013639,0.815750815,0.999886879
BT_3841,45980.64919,-0.048535315,0.221454432,-0.219166147,0.826520625,0.999886879
BT_3842,10292.8693,-0.069327246,0.140739204,-0.492593704,0.622299698,0.999886879
BT_3843,24320.40293,-0.097988129,0.152209335,-0.643772139,0.519723203,0.999886879
BT_3844,44842.6118,-0.037966524,0.080073643,-0.474145078,0.635396455,0.999886879
BT_3845,21072.48984,-0.234193518,0.253417227,-0.924142056,0.355412359,0.999886879
BT_3846,2116.997208,-0.18803395,0.264097847,-0.711985924,0.476473493,0.999886879
BT_3847,4317.986355,0.031509685,0.126045616,0.249986365,0.802597893,0.999886879
BT_3848,18299.27989,-0.047315603,0.09456946,-0.50032646,0.616845226,0.999886879
BT_3849,8212.614549,-0.056951273,0.082444908,-0.690779756,0.489703959,0.999886879
BT_3850,1222.353261,-0.026321939,0.099382839,-0.264853969,0.79112196,0.999886879
BT_3851,9067.125428,-0.099818981,0.070930458,-1.407279518,0.15934452,0.999886879
BT_3852,27649.16564,0.316207822,0.618450646,0.51129031,0.609147789,0.999886879
BT_3853,1519.969141,-0.075779029,0.12271102,-0.617540539,0.536878251,0.999886879
BT_3854,122.3048915,0.210851931,0.418900724,0.503345825,0.614721154,0.999886879
BT_3855,26.44262626,0.441546953,0.573412509,0.770033695,0.441279905,0.999886879
BT_3857,43.06283109,0.511259235,0.368560727,1.387177735,0.165387573,0.999886879
BT_3858,32.54131134,0.647364471,0.421684146,1.535188074,0.124737637,0.999886879
BT_3859,34.05872711,0.627585172,0.639948515,0.980680722,0.326750213,0.999886879
BT_3860,31.75194707,0.723782765,0.558869631,1.295083371,0.195291471,0.999886879
BT_3861,39.92591324,0.426727724,0.348904143,1.223051468,0.221310257,0.999886879
